,Unnamed: 0,rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,status,dem_source,n_orig_centerlines,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,n_centerlines,longuest_centerline_km,lake_type,calving_front_width,length_to_LGM,region,debris,debris_jb
126,126,RGI60-15.05194,15,15-Jan,,82.16034307,30.14165551,8.421,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5036.915039,5019,4649,5937,5937,4649,0,5,9.855655839,0,,,central_west_one,1,1
127,127,RGI60-15.04060,15,15-Jan,,84.967453,28.55244064,8.385,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5050.917969,5029.5,3730,6616,6613,3730,0.000103541,4,8.549848481,0,,,,,
128,128,RGI60-15.02263,15,15-Feb,,89.86772643,28.13637865,8.353,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,5430.946289,5459,4569,6059,6059,4569,0,5,7.262346315,1,210,1300,bhutan,1,1
129,129,RGI60-15.10373,15,15-Feb,Cn5O197B0123 Zhizhai Glacier,87.985,27.902,8.312,Glacier,Land-terminating,Glacier or ice cap,SRTM,7,,,6017.612305,5941,5405,6797,6736,5405,0.003406792,7,5.461980515,1,150,,sikkim,,0
130,130,RGI60-15.03217,15,15-Feb,,88.10941888,27.58216819,8.288,Glacier,Land-terminating,Glacier or ice cap,SRTM,8,,,5576.45459,5497,4614,7144,7144,4614,0,8,8.352640687,1,200,,sikkim,,1
131,131,RGI60-15.09271,15,15-Jan,Cn5O186A0031,85.174,28.408,8.179,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,5269.769531,5190,4035,6580,6580,4035,0,1,5.246833329,0,,,,,
132,132,RGI60-15.10987,15,15-Jan,Cn5O256C0037,84.425,28.837,8.179,Glacier,Land-terminating,Glacier or ice cap,SRTM,6,,,6054.492676,6029,5646,6632,6632,5646,0,6,6.115950212,0,,,,,
133,133,RGI60-15.10883,15,15-Feb,Cn5O212A0196 Jiejiu Glacier,90.686,28.26,8.151,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,5430.002441,5448,4710,6438,6438,4710,0,1,4.909188309,0,,,bhutan,1,1
134,134,RGI60-15.02591,15,15-Feb,,90.75130292,28.03493836,8.057,Glacier,Land-terminating,Glacier or ice cap,SRTM,7,,,5477.278809,5548,4873,6077,6077,4873,0,7,7.827199128,1,490,4400,bhutan,,0
135,135,RGI60-15.10819,15,15-Feb,Cn5O212A0139 Wenjia Glacier,90.557,28.098,8.049,Glacier,Land-terminating,Glacier or ice cap,SRTM,3,,,5703.383789,5668,5243,6424,6424,5243,0,3,6.064995667,0,,,bhutan,,0
